RecordID,RecordType,Title,Category,Location,SubmittedDate,ModeratedDate,ContributorRole,UserSegment,ReviewOrGuideText,Rating,Status,Language,Tags
HP-001,Dorm Review,RSU International Dorm,Dormitory,"Building A, 3rd Floor",2026-06-01,2026-06-02,First-year Student,International Student,"Clean room and safe building, but Wi-Fi is sometimes slow at night.",4,Approved,English,"wifi, safety, clean"
HP-002,Cafeteria Review,Main Cafeteria Noodle Stall,Cafeteria,Main Cafeteria,2026-06-02,2026-06-02,First-year Student,Local Student,Affordable noodles with big portions. Lunch queue is long after 12 PM.,5,Approved,English,"food, price, queue"
HP-003,Survival Guide,How to Get a Student ID Replacement,Campus Service,Student Affairs Office,2026-06-03,2026-06-04,Exchange Student,International Student,"Bring passport copy, student number, and 100 baht fee. Staff were helpful.",4,Approved,English,"student id, service, guide"
HP-004,Dorm Review,Campus Residence B,Dormitory,Building B,2026-06-04,2026-06-05,First-year Student,International Student,"Good location near classes, but laundry machines are limited on weekends.",3,Approved,English,"laundry, location"
HP-005,Cafeteria Review,Halal Food Corner,Cafeteria,Food Court Zone 2,2026-06-05,2026-06-06,International Student,International Student,Useful option for Muslim students. Menu is clear and staff can explain ingredients.,5,Approved,English,"halal, menu, international"
HP-006,Survival Guide,Where to Print Documents on Campus,Campus Service,Library 1st Floor,2026-06-06,2026-06-07,First-year Student,Local Student,"Library printing is easy, but bring small cash because online payment was unavailable.",4,Approved,English,"printing, library, cash"
HP-007,Dorm Review,Private Apartment Near Gate 2,Dormitory,Gate 2 Area,2026-06-07,2026-06-08,Senior Student,Local Student,"Quiet and spacious, but rent is higher than campus dorms.",4,Approved,English,"apartment, rent, quiet"
HP-008,Cafeteria Review,Vegetarian Rice Stall,Cafeteria,Main Cafeteria,2026-06-08,2026-06-09,Exchange Student,International Student,"Good vegetarian choices, but labels should include English translations.",4,Approved,English,"vegetarian, translation"
HP-009,Survival Guide,First Week Campus Checklist,Campus Life,Online Guide,2026-06-09,2026-06-10,First-year Student,International Student,"Helpful checklist for SIM card, uniform, transport card, and classroom search.",5,Approved,English,"first week, checklist"
HP-010,Dorm Review,Shared Room in Campus Residence A,Dormitory,Residence A,2026-06-10,2026-06-11,First-year Student,International Student,Roommate matching was okay. Storage space is small but location is convenient.,3,Approved,English,"shared room, storage"
HP-011,Cafeteria Review,Coffee Kiosk Near Library,Cafeteria,Library Entrance,2026-06-11,2026-06-11,First-year Student,Local Student,"Good coffee for morning classes, but not many snack choices.",4,Approved,English,"coffee, library"
HP-012,Survival Guide,Using Campus Shuttle for the First Time,Transport,Main Gate Shuttle Stop,2026-06-12,2026-06-13,Exchange Student,International Student,Shuttle is helpful but schedule should be posted in English near the stop.,4,Approved,English,"shuttle, schedule"
HP-013,Dorm Review,Budget Dorm Near Campus,Dormitory,Soi Near Gate 3,2026-06-13,2026-06-14,First-year Student,Local Student,"Cheap rent and friendly owner, but walking back at night feels less safe.",3,In Review,English,"budget, safety"
HP-014,Cafeteria Review,Thai Curry Stall,Cafeteria,Food Court Zone 1,2026-06-14,2026-06-15,International Student,International Student,"Food tastes good, but spice level is hard to understand without Thai language.",4,Approved,English,"thai food, spicy, language"
HP-015,Survival Guide,Best Places to Study Between Classes,Campus Life,Library and Study Lounge,2026-06-15,2026-06-16,Senior Student,Local Student,"Library is quiet, while the lounge is better for group work and laptop charging.",5,Approved,English,"study, library, lounge"
HP-016,Dorm Review,International Student Residence,Dormitory,International Residence,2026-06-16,2026-06-17,Exchange Student,International Student,Friendly environment for new students. Reception helped with basic Thai instructions.,5,Approved,English,"international, reception"
HP-017,Cafeteria Review,Budget Breakfast Set,Cafeteria,Main Cafeteria,2026-06-17,2026-06-18,First-year Student,Local Student,Good value before 10 AM. Sells out quickly during exam week.,4,Approved,English,"breakfast, budget"
